order_id,order_date,customer_id,product_id,quantity,unit_price
010001,2026-01-21,24,13,2,74.54
010002,2026-01-22,18,12,1,14.08
010003,2026-01-18,47,20,2,47.23
010004,2026-01-09,41,6,5,31.76
010005,2026-01-27,50,8,1,41.47
010006,2026-01-26,21,8,4,42.56
010007,2026-01-30,37,9,3,25.11
010008,2026-01-13,42,7,4,50.27
010009,2026-01-08,48,5,5,76.23
010010,2026-01-19,28,18,5,27.15
010011,2026-01-05,33,13,4,75.85
010012,2026-01-28,8,3,2,26.27
010013,2026-01-14,39,6,1,33.87
010014,2026-01-15,34,13,3,76.15
010015,2026-01-01,44,18,1,30.56
010016,2026-01-25,42,18,3,29.93
010017,2026-01-06,30,4,1,114.09
010018,2026-01-25,12,9,5,30.1
010019,2026-01-10,41,4,5,127.82
010020,2026-01-12,49,20,2,43.22
010021,2026-01-30,34,18,1,31.08
010022,2026-01-01,8,20,3,44.37
010023,2026-01-08,37,10,1,20.85
010024,2026-01-27,5,3,5,26.15
010025,2026-01-16,36,5,2,74.05
010026,2026-01-20,28,9,2,27.65
010027,2026-01-23,13,18,3,29.96
010028,2026-01-21,24,13,4,85.72
010029,2026-01-08,15,17,1,63.38
010030,2026-01-18,15,11,5,17.17
010031,2026-01-23,41,8,1,36.05
010032,2026-01-02,22,8,1,36.53
010033,2026-01-22,32,17,2,60.65
010034,2026-01-30,37,18,5,26.4
010035,2026-01-16,27,16,2,33.19
010036,2026-01-14,23,4,4,109.41
010037,2026-01-24,4,14,1,29.79
010038,2026-01-11,7,2,2,53.44
010039,2026-01-15,9,7,4,45.73
010040,2026-01-08,5,6,4,30.58
010041,2026-01-21,35,18,1,26.21
010042,2026-01-28,16,3,2,27.12
010043,2026-01-07,26,14,1,29.9
010044,2026-01-13,17,6,4,31.23
010045,2026-01-31,47,10,5,21.66
010046,2026-01-10,14,16,1,32.57
010047,2026-01-02,48,19,3,96.34
010048,2026-01-16,33,2,5,49.6
010049,2026-01-17,6,6,2,29.16
