order_id,order_date,customer_id,product_id,quantity,unit_price
050001,2026-05-22,31,14,5,32.78
050002,2026-05-03,26,8,1,39.8
050003,2026-05-17,37,17,5,64.91
050004,2026-05-25,29,5,2,73.92
050005,2026-05-26,13,6,2,35.02
050006,2026-05-22,28,2,2,53.66
050007,2026-05-09,21,5,1,85.34
050008,2026-05-13,36,3,3,24.43
050009,2026-05-30,1,9,5,27.61
050010,2026-05-14,8,19,4,92.42
050011,2026-05-19,38,5,1,74.36
050012,2026-05-04,19,4,5,120.49
050013,2026-05-09,25,12,4,15.6
050014,2026-05-02,12,19,3,94.0
050015,2026-05-20,44,13,4,72.44
050016,2026-05-29,22,2,2,53.36
050017,2026-05-30,18,2,3,57.18
050018,2026-05-26,20,1,3,87.07
050019,2026-05-28,45,9,1,29.39
050020,2026-05-24,29,8,3,37.07
050021,2026-05-20,42,9,1,28.76
050022,2026-05-30,27,7,4,48.18
050023,2026-05-27,4,17,5,68.7
050024,2026-05-23,33,6,4,29.22
050025,2026-05-17,37,5,1,84.48
050026,2026-05-27,13,6,1,30.03
050027,2026-05-02,24,8,2,36.26
050028,2026-05-15,33,9,4,26.78
050029,2026-05-08,24,4,4,123.31
050030,2026-05-31,31,20,5,45.49
050031,2026-05-06,17,18,1,27.64
050032,2026-05-02,11,10,5,19.92
050033,2026-05-21,15,7,2,52.23
050034,2026-05-17,2,9,1,28.33
050035,2026-05-21,12,16,5,37.87
050036,2026-05-20,20,1,3,85.02
050037,2026-05-28,23,14,4,32.36
050038,2026-05-10,44,9,5,25.95
050039,2026-05-04,1,20,5,45.04
050040,2026-05-20,39,12,3,14.68
050041,2026-05-16,5,10,3,22.81
050042,2026-05-28,18,9,3,28.27
050043,2026-05-17,49,10,2,20.63
050044,2026-05-26,39,2,4,57.83
050045,2026-05-24,2,11,4,19.68
050046,2026-05-14,26,10,4,20.94
050047,2026-05-19,13,2,3,55.4
050048,2026-05-21,31,8,3,41.48
050049,2026-05-06,43,17,5,61.44
050050,2026-05-16,9,6,3,30.68
050051,2026-05-06,44,18,3,30.0
050052,2026-05-08,48,3,3,23.6
050053,2026-05-11,24,14,3,31.72
050054,2026-05-28,8,19,4,88.21
050055,2026-05-19,38,2,5,58.49
050056,2026-05-07,33,3,1,24.85
050057,2026-05-14,4,13,2,78.47
050058,2026-05-11,27,5,5,87.87
050059,2026-05-28,46,15,2,14.86
050060,2026-05-21,12,3,3,24.93
050061,2026-05-09,14,2,2,49.1
050062,2026-05-16,49,19,1,96.87
050063,2026-05-21,28,5,4,81.82
050064,2026-05-13,1,14,1,32.78
050065,2026-05-12,1,18,3,26.79
050066,2026-05-22,1,17,2,60.04
050067,2026-05-12,20,8,2,41.54
050068,2026-05-19,20,4,2,116.23
050069,2026-05-10,19,3,4,26.61
050070,2026-05-11,28,17,2,65.23
050071,2026-05-16,23,11,2,20.87
050072,2026-05-30,26,6,1,34.87
050073,2026-05-05,14,8,1,37.79
050074,2026-05-04,24,19,1,92.09
050075,2026-05-09,50,13,5,83.87
050076,2026-05-02,43,20,1,41.84
050077,2026-05-04,27,1,4,81.86
050078,2026-05-09,31,13,2,72.13
050079,2026-05-21,1,7,3,50.65
050080,2026-05-22,34,14,3,30.96
050081,2026-05-05,27,20,1,46.96
050082,2026-05-04,19,17,1,66.8
050083,2026-05-20,13,4,3,118.95
050084,2026-05-12,46,17,4,70.06
050085,2026-05-18,32,10,2,20.51
050086,2026-05-01,1,16,1,33.8
050087,2026-05-22,32,4,2,126.98
050088,2026-05-03,47,3,1,26.39
050089,2026-05-15,19,9,3,28.29
050090,2026-05-27,12,15,1,14.56
050091,2026-05-22,21,10,4,21.38
050092,2026-05-25,3,4,1,109.36
050093,2026-05-06,22,5,3,82.6
050094,2026-05-09,47,15,1,17.46
050095,2026-05-06,8,12,4,15.41
050096,2026-05-09,25,13,4,85.21
050097,2026-05-26,11,14,1,30.88
050098,2026-05-02,11,5,1,83.13
050099,2026-05-16,37,14,4,32.46
050100,2026-05-25,23,6,5,32.71
050101,2026-05-29,47,1,2,96.52
050102,2026-05-04,27,16,4,37.93
050103,2026-05-21,21,2,1,49.74
050104,2026-05-19,47,17,5,67.42
050105,2026-05-22,22,8,5,43.81
050106,2026-05-20,7,17,4,66.41
050107,2026-05-22,44,8,4,39.85
050108,2026-05-18,40,5,1,85.41
050109,2026-05-06,33,1,4,92.57
050110,2026-05-03,49,16,4,37.58
050111,2026-05-09,4,11,5,18.01
050112,2026-05-13,26,8,2,40.39
050113,2026-05-26,37,3,4,24.79
050114,2026-05-15,21,3,1,26.77
050115,2026-05-01,7,16,4,36.71
050116,2026-05-18,1,14,1,27.21
050117,2026-05-21,20,20,5,50.25
050118,2026-05-22,30,18,3,26.83
050119,2026-05-27,15,12,4,15.44
050120,2026-05-20,39,11,4,19.22
050121,2026-05-04,7,12,2,15.13
050122,2026-05-27,41,1,3,87.13
050123,2026-05-23,7,18,1,28.63
050124,2026-05-27,46,6,4,31.95
050125,2026-05-07,13,4,1,113.15
050126,2026-05-27,13,13,3,73.56
050127,2026-05-02,41,4,5,125.12
050128,2026-05-15,30,4,5,125.48
050129,2026-05-16,1,17,5,59.32
050130,2026-05-14,38,2,4,55.08
050131,2026-05-30,12,17,5,67.6
050132,2026-05-05,7,6,4,33.48
050133,2026-05-11,33,20,4,46.97
050134,2026-05-30,45,14,2,32.87
050135,2026-05-11,19,9,4,26.94
050136,2026-05-20,45,5,5,74.2
050137,2026-05-18,21,10,5,23.51
050138,2026-05-20,46,7,3,45.83
050139,2026-05-05,46,12,2,15.72
050140,2026-05-21,21,17,1,64.54
050141,2026-05-19,37,12,4,14.68
050142,2026-05-28,28,18,1,27.28
050143,2026-05-13,10,17,1,58.96
050144,2026-05-25,11,2,3,51.23
050145,2026-05-02,45,9,3,25.56
050146,2026-05-02,23,7,4,51.22
050147,2026-05-22,48,4,5,121.76
050148,2026-05-18,25,8,2,41.93
050149,2026-05-26,45,17,3,67.64
050150,2026-05-13,27,2,3,59.15
050151,2026-05-24,17,18,2,25.96
050152,2026-05-28,29,20,2,49.38
050153,2026-05-18,48,12,5,15.24
050154,2026-05-31,13,7,3,51.44
050155,2026-05-22,5,15,2,14.97
050156,2026-05-04,25,6,1,33.5
050157,2026-05-09,9,14,2,28.67
050158,2026-05-01,22,19,4,98.37
050159,2026-05-30,21,5,5,72.63
050160,2026-05-21,40,2,3,57.48
050161,2026-05-18,23,16,1,37.02
050162,2026-05-31,12,11,5,19.09
050163,2026-05-06,27,3,5,26.42
050164,2026-05-12,15,18,2,27.95
050165,2026-05-10,14,11,5,18.35
050166,2026-05-18,49,17,1,63.68
050167,2026-05-15,16,4,5,123.02
050168,2026-05-02,44,20,3,43.63
050169,2026-05-31,8,13,4,84.49
050170,2026-05-10,2,9,5,27.72
050171,2026-05-17,29,12,4,14.54
050172,2026-05-21,13,2,3,52.28
050173,2026-05-04,11,17,5,58.65
050174,2026-05-03,14,18,2,25.69
050175,2026-05-07,35,14,4,32.0
050176,2026-05-05,2,3,4,26.22
050177,2026-05-03,4,11,2,17.23
050178,2026-05-19,15,9,3,27.82
050179,2026-05-21,26,14,4,29.32
050180,2026-05-22,8,11,5,17.16
050181,2026-05-20,5,1,5,92.54
050182,2026-05-03,23,2,5,56.69
050183,2026-05-22,20,4,5,114.0
050184,2026-05-30,29,3,4,23.9
050185,2026-05-01,31,13,2,83.03
050186,2026-05-24,26,18,5,26.9
050187,2026-05-05,20,10,3,24.02
050188,2026-05-18,10,1,1,90.95
050189,2026-05-20,26,2,5,49.1
050190,2026-05-10,14,18,3,31.05
050191,2026-05-21,33,7,2,47.9
050192,2026-05-20,17,6,2,29.98
050193,2026-05-26,37,4,1,111.42
050194,2026-05-18,5,18,3,28.28
050195,2026-05-07,47,3,5,23.74
050196,2026-05-12,9,16,2,38.15
050197,2026-05-03,13,4,3,113.89
050198,2026-05-20,43,16,3,34.64
050199,2026-05-19,24,19,3,85.6
050200,2026-05-11,16,14,2,28.0
